epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.020396029576659203,0.03400155529379845,0.9772537018167567,0.7368666291510226,0.98605456845767,0.8060435120562548
2,0.012377775274217129,0.016463523730635643,0.9934030670003333,0.8135692154373582,0.9729665464286092,0.8258021030128869
3,0.011160160414874554,0.013230202719569206,0.9923614742711176,0.8337153750366859,0.9884502129153102,0.8369368092706865
4,0.006652040407061577,0.009985428303480148,0.9929733714147159,0.8428173859276186,0.9879986647523515,0.8572302837658046
5,0.004945690277963877,0.006399472244083881,0.9929104714633248,0.8522043131117948,0.9774141762399136,0.8519483553285767
6,0.008592316880822182,0.03618430346250534,0.992961485159203,0.8515466740650806,0.9882121991993963,0.8366229492220394
7,0.008896722458302975,0.008297448977828026,0.9921580784359445,0.8508664246509263,0.9803500395517201,0.8554471360292323
8,0.004020612686872482,0.00889784749597311,0.9929344873882591,0.8527539609662148,0.9771037789154655,0.8385820700783985
9,0.0036778454668819904,0.009940603747963905,0.9921828921364217,0.8480094656050726,0.9798966313975822,0.8353029657353871
10,0.0037400678265839815,0.010092098265886307,0.9925217018670446,0.8438419605540396,0.983104105653467,0.846901293351501
11,0.003462402382865548,0.00544767826795578,0.9926287550924568,0.8458315637931748,0.9792359893705225,0.8209117073326717
12,0.004030182957649231,0.006933088880032301,0.9927610271271302,0.8444911108432755,0.9876662159329299,0.8174691690564638
